NewID,Area,Veg_Com_No,Veg_Area,Per_Area,
428,11511.39,9,10000.36,0.8687,
429,84733.96,7,5887.3,0.0695,
429,84733.96,1,27510.34,0.3247,
429,84733.96,-1,51336.32,0.6059,
430,8287.75,1,8287.75,1,
431,10240.62,7,6517.2,0.6364,
431,10240.62,8,550.63,0.0538,
431,10240.62,4,3172.78,0.3098,
432,11579.48,7,277.08,0.0239,
432,11579.48,4,6190.17,0.5346,
432,11579.48,9,5112.23,0.4415,
433,172496.22,3,1199.4,0.007,
433,172496.22,7,90774.7,0.5262,
433,172496.22,8,61033.55,0.3538,
433,172496.22,1,279.49,0.0016,
433,172496.22,4,19209.08,0.1114,
434,48607.73,-1,48607.73,1,
435,8278.48,1,8278.48,1,
436,10312.71,7,6508.87,0.6312,
436,10312.71,8,1394.72,0.1352,
436,10312.71,4,2409.11,0.2336,
437,11646.37,7,3332.21,0.2861,
437,11646.37,4,7712.23,0.6622,
437,11646.37,9,601.93,0.0517,
438,15880.82,4,0.39,0,
438,15880.82,-1,15880.43,1,
439,9964.58,1,5528.35,0.5548,
439,9964.58,4,1022.13,0.1026,
439,9964.58,-1,3414.09,0.3426,
440,8269.2,1,8269.2,1,
441,10384.8,7,6000.8,0.5778,
441,10384.8,8,3792.85,0.3652,
441,10384.8,4,591.15,0.0569,
442,11680.8,7,6722.68,0.5755,
442,11680.8,4,3296.83,0.2822,
442,11680.8,6,1661.28,0.1422,
443,4041.7,4,2209.43,0.5467,
443,4041.7,-1,1832.27,0.4533,
444,8259.92,1,8209.06,0.9938,
444,8259.92,4,50.86,0.0062,
445,10272.78,1,7717.98,0.7513,
445,10272.78,4,2554.8,0.2487,
446,10456.89,8,10456.89,1,
447,68898.16,3,39869.93,0.5787,
447,68898.16,8,4936.2,0.0716,
447,68898.16,1,19015.79,0.276,
447,68898.16,2,3377.98,0.049,
447,68898.16,-1,1698.26,0.0246,
448,11704.95,7,8235.52,0.7036,
448,11704.95,4,25.5,0.0022,
448,11704.95,6,3443.94,0.2942,
449,8250.65,1,4906.17,0.5946,
449,8250.65,4,3249.47,0.3938,
449,8250.65,9,95.01,0.0115,
450,10528.98,8,10528.98,1,
451,4415.29,4,3142.92,0.7118,
451,4415.29,-1,1272.37,0.2882,
452,11729.11,7,8658.29,0.7382,
452,11729.11,6,3070.82,0.2618,
453,10367.85,1,8895.86,0.858,
453,10367.85,4,1471.99,0.142,
454,60159.86,-1,60159.86,1,
455,79925.54,8,15681.91,0.1962,
455,79925.54,1,31666.57,0.3962,
455,79925.54,-1,32577.06,0.4076,
456,8241.37,4,5067.87,0.6149,
456,8241.37,9,3173.51,0.3851,
457,10601.07,8,10601.07,1,
458,11753.27,7,9025.85,0.7679,
458,11753.27,6,2727.42,0.2321,
459,4772.46,1,1585.31,0.3322,
459,4772.46,4,1927.24,0.4038,
459,4772.46,-1,1259.91,0.264,
460,10462.93,1,10462.93,1,
461,8256.15,4,186.68,0.0226,
461,8256.15,9,8069.46,0.9774,
462,11777.42,7,8842.14,0.7508,
462,11777.42,6,2935.28,0.2492,
463,59442.57,7,1715.33,0.0289,
463,59442.57,-1,57727.24,0.9711,
464,20751,8,12088.13,0.5825,
464,20751,1,401.42,0.0193,
464,20751,-1,8261.45,0.3981,
465,10558.01,1,10558.01,1,
466,5129.62,1,3882.48,0.7569,
466,5129.62,-1,1247.14,0.2431,
467,8288.69,7,65.44,0.0079,
467,8288.69,4,4316.29,0.5207,
467,8288.69,9,3906.97,0.4714,
468,11801.58,7,8301.85,0.7035,
468,11801.58,6,3499.73,0.2965,
469,189111.37,7,37647.58,0.1991,
